@RELATION metaDataset

@ATTRIBUTE index STRING
@ATTRIBUTE Attributes REAL
@ATTRIBUTE "Average absolute correlation between numeric attributes" REAL
@ATTRIBUTE "Average examples per labelset" REAL
@ATTRIBUTE "Average gain ratio" REAL
@ATTRIBUTE Bound REAL
@ATTRIBUTE "CVIR inter class" REAL
@ATTRIBUTE Cardinality REAL
@ATTRIBUTE DefaultAccuracy REAL
@ATTRIBUTE Density REAL
@ATTRIBUTE "Distinct labelsets" REAL
@ATTRIBUTE Diversity REAL
@ATTRIBUTE Instances REAL
@ATTRIBUTE "Kurtosis cardinality" REAL
@ATTRIBUTE Labels REAL
@ATTRIBUTE LxIxF REAL
@ATTRIBUTE "Max IR inter class" REAL
@ATTRIBUTE "Max IR intra class" REAL
@ATTRIBUTE "Max IR per labelset" REAL
@ATTRIBUTE "Maximal entropy of labels" REAL
@ATTRIBUTE "Mean examples per labelset" REAL
@ATTRIBUTE "Mean of IR inter class" REAL
@ATTRIBUTE "Mean of IR intra class" REAL
@ATTRIBUTE "Mean of IR per labelset" REAL
@ATTRIBUTE "Mean of entropies of labels" REAL
@ATTRIBUTE "Mean of entropies of nominal attributes" REAL
@ATTRIBUTE "Mean of kurtosis" REAL
@ATTRIBUTE "Mean of mean of numeric attributes" REAL
@ATTRIBUTE "Mean of skewness of numeric attributes" REAL
@ATTRIBUTE "Mean of standard deviation of IR intra class" REAL
@ATTRIBUTE "Mean of standard deviation of numeric attributes" REAL
@ATTRIBUTE "Minimal entropy of labels" REAL
@ATTRIBUTE "Number of labelsets up to 10 examples" REAL
@ATTRIBUTE "Number of labelsets up to 2 examples" REAL
@ATTRIBUTE "Number of labelsets up to 5 examples" REAL
@ATTRIBUTE "Number of labelsets up to 50 examples" REAL
@ATTRIBUTE "Number of unconditionally dependent label pairs by chi-square test" REAL
@ATTRIBUTE "Proportion of distinct labelsets" REAL
@ATTRIBUTE "Proportion of maxim label combination (PMax)" REAL
@ATTRIBUTE "Proportion of numeric attributes" REAL
@ATTRIBUTE "Proportion of numeric attributes with outliers" REAL
@ATTRIBUTE "Proportion of unique label combination (PUniq)" REAL
@ATTRIBUTE "Ratio of number of instances to the number of attributes" REAL
@ATTRIBUTE "Ratio of number of labelsets up to 10 examples" REAL
@ATTRIBUTE "Ratio of number of labelsets up to 2 examples" REAL
@ATTRIBUTE "Ratio of number of labelsets up to 5 examples" REAL
@ATTRIBUTE "Ratio of number of labelsets up to 50 examples" REAL
@ATTRIBUTE "Ratio of unconditionally dependent label pairs by chi-square test" REAL
@ATTRIBUTE SCUMBLE REAL
@ATTRIBUTE "Skewness cardinality" REAL
@ATTRIBUTE "Standard deviation of examples per labelset" REAL
@ATTRIBUTE "Standard deviation of label cardinality" REAL

@DATA
medical,0.145808,0.0,0.028961,0.011937,0.035296,0.432942,0.012112000000000001,0.159524,0.028869,0.009895000000000001,0.15951400000000002,0.031404,0.032672,0.041879,0.008607,0.12556199999999998,0.11203199999999999,0.045614,0.769211,0.028961,0.325982,0.242327,40.147024,0.099694,0.054653,0.003447,0.005535,0.024227000000000002,0.0385,0.0,0.0,0.008791,0.006128,0.007853,0.010048999999999999,0.00056,0.161956,0.34115,0.0,0.0,0.08061499999999999,0.005706,0.798362,0.565217,0.728136,0.9710139999999999,0.024631,0.091515,0.24634499999999998,0.059784000000000004,0.015688
birds,0.024827000000000002,0.45833500000000005,0.016581,0.13303800000000002,0.023938,0.6016739999999999,0.0,0.465517,0.063302,0.01068,0.25092,0.02,0.024666,0.015322,0.000446,0.043619,0.077019,0.093333,0.392081,0.016581,0.040373,0.077696,95.117278,0.247993,1.0,0.252515,0.23181100000000002,0.457125,0.023927,0.23697100000000001,0.041039,0.010832,0.009114,0.010366,0.010834,0.000397,0.254761,1.0,0.992308,0.9496120000000001,0.13798,0.024582,0.962397,0.783784,0.910531,0.972973,0.10101,0.064215,0.083452,0.08280900000000001,0.042128
proteins_plant,0.154864,0.042259,0.065706,0.027964,0.023763999999999997,0.02575,0.004252000000000001,0.253472,0.122198,0.00267,0.074607,0.019825,2.6000000000000002e-05,0.008172,0.001667,0.00020800000000000001,0.018306,0.049825,0.74324,0.065706,0.000324,0.041135000000000005,34.310606,0.38107199999999997,0.0,0.048629,0.13838,0.11371600000000001,0.021347,0.028446,0.130629,0.002198,0.0015710000000000001,0.0015710000000000001,0.002826,0.000117,0.075749,0.543435,1.0,0.891417,0.032063,0.00336,0.637051,0.434783,0.472264,0.913043,0.076973,0.007515999999999999,0.0034189999999999997,0.099147,0.39978800000000003
emotions,0.005698,0.0,0.058444,1.0,0.004194,0.067513,0.034214,0.12963,0.451113,0.002827,0.371431,0.018246000000000002,0.010087,0.002043,3.2e-05,0.000661,0.0,0.023158,0.979309,0.058444,0.0033130000000000004,0.000499,9.209008,0.969118,0.0,0.017661000000000003,0.035151,0.095649,0.007265000000000001,0.004242,1.0,0.001884,0.0009429999999999999,0.0014140000000000001,0.00314,0.00028,0.084968,0.276783,1.0,0.416667,0.0076,0.084823,0.478261,0.25,0.40229899999999996,1.0,0.8128340000000001,0.019624000000000003,0.372167,0.056958,0.024059
enron,0.10022400000000001,0.0,0.0051600000000000005,0.082153,0.060633000000000006,0.547057,0.09388200000000001,0.097183,0.081826,0.057170000000000006,0.518392,0.056842,0.030077,0.050051,0.011840999999999999,0.403945,0.190136,0.047018,1.0,0.0051600000000000005,0.481079,0.221498,59.043963,0.21165599999999998,0.367778,0.003447,0.005535,0.024227000000000002,0.06263400000000001,0.0,0.019015999999999998,0.056829,0.051697,0.055285,0.057309000000000006,0.002566,0.526328,0.20692,0.0,0.0,0.414738,0.015296,0.9811989999999999,0.8891889999999999,0.952283,0.9945950000000001,0.081106,0.54886,0.06790800000000001,0.023457,0.058453
foodtruck,0.001221,0.811016,0.008577,0.11351300000000002,0.011358,0.29783200000000004,0.051536,0.33561599999999997,0.27407,0.008167,0.39381900000000003,0.007368,0.001011,0.008172,1.1e-05,0.003994,0.006779,0.032982,0.9126139999999999,0.008577,0.00305,0.015115,39.057663,0.5599970000000001,0.675029,0.010067,0.050395,0.0,0.007247,0.005925,0.266303,0.008477,0.007542,0.008481,0.008479,0.00018700000000000002,0.399848,0.7203039999999999,0.607143,0.117647,0.281098,0.11830399999999999,0.9760120000000001,0.827586,0.96195,1.0,0.12315699999999999,0.0596,0.00495,0.033199,0.30824
delicious,0.049247000000000006,0.0,0.0,0.015948,0.563865,0.318909,0.711527,0.001082,0.015149000000000001,1.0,0.984922,0.562105,0.026797,1.0,1.0,0.415812,0.24784899999999999,0.0035090000000000004,0.959752,0.0,0.576525,0.337821,6.960241000000001,0.058976,0.210887,0.003447,0.005535,0.024227000000000002,0.663829,0.0,0.015116999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.294953,1.0,0.9985879999999999,0.999307,1.0,0.090255,1.0,0.0,0.0,0.20361400000000002
scene,0.028287,0.0,0.385768,0.733874,0.004194,0.025328,0.004005,0.17083299999999998,0.25705500000000003,0.001256,0.21428899999999998,0.07877200000000001,0.133701,0.002043,0.000528,0.000234,0.000594,0.113684,0.645001,0.385768,0.001437,0.004828,42.853396999999994,0.7303810000000001,0.0,0.035276999999999996,0.008803,0.139216,0.062377999999999996,0.00078,0.785948,0.000628,0.000471,0.000314,0.000628,0.000327,0.009094,0.365501,1.0,0.561224,0.003206,0.07374,0.304348,0.214286,0.211823,0.14285699999999998,0.948307,0.00054,0.431483,0.382413,0.005971
HumanPseAAC,0.043142,0.0,0.10248800000000001,0.016549,0.08806599999999999,0.47072600000000003,0.007745,0.240234,0.112322,0.007539,0.047326,0.084386,0.077279,0.010215,0.001979,0.058585000000000005,0.04488,0.171228,0.8499540000000001,0.10248800000000001,0.104972,0.079788,126.914084,0.33509,0.0,0.08213999999999999,0.007962,0.21438800000000002,0.087659,0.000808,0.064177,0.006279,0.004243,0.005654,0.006751000000000001,0.00049,0.04805,0.514932,1.0,0.868182,0.021041,0.052292,0.716586,0.5,0.6730520000000001,0.740741,0.234471,0.037894,0.266646,0.239447,0.011895000000000001
ABPM,0.00173,1.0,0.023111000000000003,0.765505,0.004194,0.679,0.11965899999999999,0.283951,1.0,0.0015710000000000001,0.245718,0.001667,0.013356999999999999,0.002043,0.0,0.016903,0.003278,0.014737,0.882078,0.023111000000000003,0.022052000000000002,0.004862,9.408584,0.641483,0.603988,0.014478999999999999,0.752574,0.024472,0.001361,0.086409,0.0,0.001727,0.0014140000000000001,0.001256,0.001884,0.0,0.195903,0.609059,0.9393940000000001,0.41935500000000003,0.025334,0.055202,0.8260870000000001,0.5625,0.5862069999999999,1.0,0.0,0.081163,0.0,0.028513,0.032478
