% description
@RELATION metaDataset

@ATTRIBUTE "index" STRING
@ATTRIBUTE "Attributes" REAL
@ATTRIBUTE "Average examples per labelset" REAL
@ATTRIBUTE "Average gain ratio" REAL
@ATTRIBUTE "Bound" REAL
@ATTRIBUTE "CVIR inter class" REAL
@ATTRIBUTE "Cardinality" REAL
@ATTRIBUTE "DefaultAccuracy" REAL
@ATTRIBUTE "Density" REAL
@ATTRIBUTE "Distinct labelsets" REAL
@ATTRIBUTE "Diversity" REAL
@ATTRIBUTE "Instances" REAL
@ATTRIBUTE "Kurtosis cardinality" REAL
@ATTRIBUTE "Labels" REAL
@ATTRIBUTE "LxIxF" REAL
@ATTRIBUTE "Max IR inter class" REAL
@ATTRIBUTE "Max IR intra class" REAL
@ATTRIBUTE "Max IR per labelset" REAL
@ATTRIBUTE "Maximal entropy of labels" REAL
@ATTRIBUTE "Mean examples per labelset" REAL
@ATTRIBUTE "Mean of IR inter class" REAL
@ATTRIBUTE "Mean of IR intra class" REAL
@ATTRIBUTE "Mean of IR per labelset" REAL
@ATTRIBUTE "Mean of entropies of labels" REAL
@ATTRIBUTE "Mean of entropies of nominal attributes" REAL
@ATTRIBUTE "Mean of kurtosis" REAL
@ATTRIBUTE "Mean of mean of numeric attributes" REAL
@ATTRIBUTE "Mean of skewness of numeric attributes" REAL
@ATTRIBUTE "Mean of standard deviation of IR intra class" REAL
@ATTRIBUTE "Mean of standard deviation of numeric attributes" REAL
@ATTRIBUTE "Minimal entropy of labels" REAL
@ATTRIBUTE "Number of labelsets up to 10 examples" REAL
@ATTRIBUTE "Number of labelsets up to 2 examples" REAL
@ATTRIBUTE "Number of labelsets up to 5 examples" REAL
@ATTRIBUTE "Number of labelsets up to 50 examples" REAL
@ATTRIBUTE "Number of unconditionally dependent label pairs by chi-square test" REAL
@ATTRIBUTE "Proportion of distinct labelsets" REAL
@ATTRIBUTE "Proportion of maxim label combination (PMax)" REAL
@ATTRIBUTE "Proportion of numeric attributes" REAL
@ATTRIBUTE "Proportion of numeric attributes with outliers" REAL
@ATTRIBUTE "Proportion of unique label combination (PUniq)" REAL
@ATTRIBUTE "Ratio of number of instances to the number of attributes" REAL
@ATTRIBUTE "Ratio of number of labelsets up to 10 examples" REAL
@ATTRIBUTE "Ratio of number of labelsets up to 2 examples" REAL
@ATTRIBUTE "Ratio of number of labelsets up to 5 examples" REAL
@ATTRIBUTE "Ratio of number of labelsets up to 50 examples" REAL
@ATTRIBUTE "Ratio of unconditionally dependent label pairs by chi-square test" REAL
@ATTRIBUTE "SCUMBLE" REAL
@ATTRIBUTE "Skewness cardinality" REAL
@ATTRIBUTE "Standard deviation of examples per labelset" REAL
@ATTRIBUTE "Standard deviation of label cardinality" REAL
@ATTRIBUTE "target" {0,1}


@DATA
medical,1449.0,6.086956521739131,0.0006321664685299629,420.0,1.0394309401200046,1.2714285714285714,0.1595238095238095,0.02825396825396825,69.0,0.16428571428571428,420.0,1.5195425436772203,45.0,27386100.0,113.0,419.0,67.0,0.8400947074719298,6.086956521739131,41.4859077497181,129.3650123275321,40.1470241847784,0.1445190683114948,0.05413505100048885,0.0,0.0,0.0,198.13333333333333,0.0,0.0,59.0,39.0,52.0,68.0,24.0,0.16428571428571428,0.1595238095238095,0.0,0.0,0.07857142857142857,0.2898550724637681,0.855072463768116,0.5652173913043478,0.7536231884057971,0.9855072463768116,0.02424242424242424,0.0485859909342563,2.3391443571553703,11.234959840662459,0.4911074204954917,0
birds,260.0,3.918918918918919,0.00704546422330818,290.0,1.4281917286184498,0.9655172413793104,0.4655172413793103,0.05081669691470055,74.0,0.25517241379310346,290.0,0.6536650502933743,19.0,1432600.0,40.0,289.0,135.0,0.5787946246321198,3.918918918918919,6.059898993335526,42.934267701682565,95.11727799227799,0.2689203535757269,0.9905217643092188,65.22385279840712,21.19575468350709,6.385091999381218,130.26315789473685,55.13407310438048,0.03317280641942918,72.0,58.0,68.0,73.0,17.0,0.25517241379310346,0.4655172413793103,0.9923076923076924,0.9496124031007752,0.13448275862068965,1.1153846153846154,0.972972972972973,0.7837837837837838,0.9189189189189191,0.9864864864864864,0.09941520467836257,0.034093294938782666,0.7924126681371956,15.487359062253182,1.1370683673465052,0
proteins_plant,1538.0,12.521739130434785,0.0014809465091251337,288.0,0.10125410285069733,1.0729166666666667,0.2534722222222222,0.08940972222222222,23.0,0.0798611111111111,288.0,-2.011232671816835,12.0,5315328.0,1.3271028037383177,71.0,73.0,0.8221004037117997,12.521739130434785,1.0923067958151158,23.73964634245964,34.310606301910646,0.3805550171821973,0.0,11.831855461293404,12.443800113954197,1.3199414130373408,118.25,6.618341888118197,0.10559103637519426,17.0,10.0,12.0,22.0,5.0,0.0798611111111111,0.2534722222222222,1.0,0.8914174252275683,0.03125,0.18725617685305596,0.7391304347826086,0.43478260869565216,0.5217391304347826,0.9565217391304348,0.07575757575757576,0.0039945788651633285,0.032460801116572575,18.504686986103987,9.875107506140893,0
emotions,72.0,11.25,0.052958459843372684,64.0,0.1974772313802537,1.8296296296296295,0.12962962962962962,0.3049382716049383,24.0,0.375,270.0,-0.9230921599998316,6.0,116640.0,1.7313432835820894,3.029850746268657,35.0,0.9856640314885612,11.25,1.4631099877835412,2.4055146267375527,9.209007745726495,0.8738421865958658,0.0,3.722226504914296,2.7741946389403305,1.0534496882884967,52.66666666666666,0.9869754680072844,0.8083297935350483,15.0,6.0,11.0,24.0,12.0,0.08888888888888889,0.12962962962962962,1.0,0.4166666666666667,0.007407407407407408,3.75,0.625,0.25,0.4583333333333333,1.0,0.8,0.010421902217928412,3.5338724733080715,10.71311501540674,0.6956128130906732,0
enron,1001.0,1.9189189189189189,0.004350679890397152,710.0,1.302353173570847,3.33661971830986,0.09718309859154928,0.06295508902471432,370.0,0.5211267605633803,710.0,1.2388742424614871,53.0,37667630.0,361.0,709.0,69.0,1.000000000000001,1.9189189189189189,60.723696169734275,118.43015206577904,59.043963108963105,0.2384391285695316,0.3642916936442704,0.0,0.0,0.0,310.52830188679246,0.0,0.015370920838781313,365.0,329.0,354.0,369.0,110.0,0.5211267605633803,0.09718309859154928,0.0,0.0,0.4042253521126761,0.7092907092907093,0.9864864864864864,0.8891891891891892,0.9567567567567568,0.9972972972972972,0.07982583454281568,0.2913713554947551,0.6448092896997157,4.526070895399501,1.5359113966992155,0
foodtruck,28.0,2.5172413793103448,0.006011449620087297,146.0,0.7281356898482272,2.267123287671233,0.3356164383561644,0.1889269406392694,58.0,0.3972602739726027,146.0,-1.9046997487741053,12.0,49056.0,4.7,28.2,49.0,0.9394532068181356,2.5172413793103448,1.4305063259960529,10.079341330971769,39.05766283524904,0.530647552913586,0.6686308548433906,1.7335149412932864,4.202054794520548,-0.35733634440712025,52.58333333333334,1.3784966922114508,0.21526030434120386,57.0,48.0,56.0,58.0,8.0,0.3972602739726027,0.3356164383561644,0.6071428571428571,0.1176470588235294,0.273972602739726,5.214285714285714,0.9827586206896552,0.8275862068965517,0.9655172413793104,1.0,0.12121212121212123,0.031643329701035304,0.04700678496269255,6.3252133105923525,7.638493002056477,1
delicious,500.0,1.0152204613211988,0.0008445722858561168,6470.0,0.7766969478661999,18.936012364760433,0.0010819165378670786,0.019263491724069614,6373.0,0.9850077279752704,6470.0,0.8840875602806864,983.0,3180005000.0,371.57142857142856,923.2857142857144,7.0,0.9721138166715974,1.0152204613211988,72.56250790664807,179.49958714187267,6.960241121397563,0.11036270269690836,0.2088880100388827,0.0,0.0,0.0,3110.365208545269,0.0,0.012219283736328487,6373.0,6364.0,6369.0,6373.0,42874.0,0.9850077279752704,0.0010819165378670786,0.0,0.0,0.9746522411128284,12.94,1.0,0.9985877922485484,0.9993723521104659,1.0,0.08882986327651543,0.5308630757848504,0.0,0.1938662500323282,5.082341148253178,0
scene,294.0,68.57142857142857,0.03886481965566458,64.0,0.10028251644489336,1.0666666666666669,0.17083333333333334,0.17777777777777778,14.0,0.21875,960.0,12.446181060580304,6.0,1693440.0,1.3506493506493509,5.233766233766233,164.0,0.754034056197132,68.57142857142857,1.2303634357598379,4.678600472737715,42.853397092341936,0.6735753080464737,0.0,8.335341021005501,0.30604994430980703,1.696055128569748,309.3333333333333,0.18144745438463636,0.63530542242044,7.0,3.0,4.0,8.0,14.0,0.014583333333333334,0.17083333333333334,1.0,0.5612244897959183,0.003125,3.26530612244898,0.5,0.21428571428571427,0.2857142857142857,0.5714285714285714,0.9333333333333332,0.00029095290697706087,4.097102302893197,70.81940239159069,0.2537175799151736,0
HumanPseAAC,440.0,18.962962962962962,0.0008763900758157527,1024.0,1.126486000407428,1.1611328125,0.240234375,0.08293805803571429,54.0,0.052734375,1024.0,6.343970673390699,14.0,6307840.0,53.33333333333334,169.66666666666666,246.0,0.8960382325345579,18.962962962962962,14.072553772176091,44.032172070963476,126.91408350788744,0.34198273270809404,0.0,20.607407466835852,0.22727406782670465,2.804805368371175,427.07142857142856,0.18795159500832997,0.051875962588491066,43.0,27.0,38.0,47.0,21.0,0.052734375,0.240234375,1.0,0.8681818181818182,0.0205078125,2.327272727272727,0.7962962962962963,0.5,0.7037037037037037,0.8703703703703703,0.2307692307692308,0.020120609808806277,2.5319075067162764,44.41594765436921,0.3984489551139246,0
ABPM,33.0,5.0625,0.04053998158295757,64.0,1.6063508654567167,3.9876543209876543,0.2839506172839506,0.6646090534979424,16.0,0.25,81.0,-0.5695114607170532,6.0,16038.0,16.2,15.2,23.0,0.9182958340544894,5.0625,3.787437343358397,4.696439393939394,9.408583603896105,0.5990032135831956,0.5982633181002797,2.888930546837988,69.97670249183595,0.003614186172063957,25.172622793795142,20.104108623530053,0.0,14.0,9.0,10.0,16.0,0.0,0.19753086419753085,0.2839506172839506,0.9393939393939394,0.41935483870967744,0.02469135802469136,2.4545454545454546,0.875,0.5625,0.625,1.0,0.0,0.04309055845020468,0.0,5.459724695440238,0.9013022129188112,0
