,index,metric,dataset_name,target
0,0,AUCROC_MICRO,medical,0
1,1,AUCROC_MICRO,birds,0
2,2,AUCROC_MICRO,proteins_plant,2
3,3,AUCROC_MICRO,emotions,0
4,4,AUCROC_MICRO,enron,0
5,5,AUCROC_MICRO,foodtruck,0
6,6,AUCROC_MICRO,delicious,2
7,7,AUCROC_MICRO,scene,0
8,8,AUCROC_MICRO,HumanPseAAC,0
9,9,AUCROC_MICRO,ABPM,2
10,10,AUCROC_MICRO,corel5k,2
11,11,AUCROC_MICRO,yeast,0
12,12,AUCROC_MICRO,HumanGO,0
13,13,AUCROC_MICRO,GpositivePseAAC,0
14,14,AUCROC_MICRO,cal500,0
15,15,AUCROC_MICRO,stackex_cs,2
16,16,AUCROC_MICRO,ohsumed,0
17,17,AUCROC_MICRO,Virus_PseAAC,0
18,18,AUCROC_MICRO,ng20,0
19,19,AUCROC_MICRO,Arabic200,2
20,20,AUCROC_MICRO,genbase,0
21,21,AUCROC_MICRO,stackex_chess,2
22,22,AUCROC_MICRO,GpositiveGO,0
23,23,AUCROC_MICRO,PlantGO,2
24,24,AUCROC_MICRO,GnegativeGO,0
25,25,AUCROC_MICRO,bibtex,1
26,26,AUCROC_MICRO,slashdot,1
27,27,AUCROC_MICRO,tmc2007_500,1
28,28,AUCROC_MICRO,langlog,0
29,29,AUCROC_MICRO,stackex_philosophy,2
30,30,AUCROC_MICRO,reutersk500,2
31,31,AUCROC_MICRO,proteins_human,2
32,32,AUCROC_MICRO,Water_quality,1
33,33,AUCROC_MICRO,PlantPseAAC,0
34,34,AUCROC_MICRO,Yelp,1
35,35,AUCROC_MICRO,CHD_49,1
36,36,AUCROC_MICRO,flags,0
37,37,AUCROC_MICRO,proteins_virus,2
38,38,AUCROC_MICRO,VirusGO,0
39,39,AUCROC_MICRO,GnegativePseACC,0
40,40,COVARAGE,medical,1
41,41,COVARAGE,birds,0
42,42,COVARAGE,proteins_plant,2
43,43,COVARAGE,emotions,1
44,44,COVARAGE,enron,2
45,45,COVARAGE,foodtruck,0
46,46,COVARAGE,delicious,2
47,47,COVARAGE,scene,1
48,48,COVARAGE,HumanPseAAC,0
49,49,COVARAGE,ABPM,2
50,50,COVARAGE,corel5k,2
51,51,COVARAGE,yeast,0
52,52,COVARAGE,HumanGO,0
53,53,COVARAGE,GpositivePseAAC,0
54,54,COVARAGE,cal500,0
55,55,COVARAGE,stackex_cs,2
56,56,COVARAGE,ohsumed,1
57,57,COVARAGE,Virus_PseAAC,0
58,58,COVARAGE,ng20,1
59,59,COVARAGE,Arabic200,2
60,60,COVARAGE,genbase,0
61,61,COVARAGE,stackex_chess,2
62,62,COVARAGE,GpositiveGO,2
63,63,COVARAGE,PlantGO,2
64,64,COVARAGE,GnegativeGO,2
65,65,COVARAGE,bibtex,1
66,66,COVARAGE,slashdot,1
67,67,COVARAGE,tmc2007_500,1
68,68,COVARAGE,langlog,1
69,69,COVARAGE,stackex_philosophy,2
70,70,COVARAGE,reutersk500,2
71,71,COVARAGE,proteins_human,2
72,72,COVARAGE,Water_quality,1
73,73,COVARAGE,PlantPseAAC,0
74,74,COVARAGE,Yelp,1
75,75,COVARAGE,CHD_49,1
76,76,COVARAGE,flags,0
77,77,COVARAGE,proteins_virus,2
78,78,COVARAGE,VirusGO,2
79,79,COVARAGE,GnegativePseACC,0
80,80,AUPRC_MICRO,medical,0
81,81,AUPRC_MICRO,birds,1
82,82,AUPRC_MICRO,proteins_plant,2
83,83,AUPRC_MICRO,emotions,1
84,84,AUPRC_MICRO,enron,0
85,85,AUPRC_MICRO,foodtruck,0
86,86,AUPRC_MICRO,delicious,1
87,87,AUPRC_MICRO,scene,0
88,88,AUPRC_MICRO,HumanPseAAC,1
89,89,AUPRC_MICRO,ABPM,2
90,90,AUPRC_MICRO,corel5k,1
91,91,AUPRC_MICRO,yeast,1
92,92,AUPRC_MICRO,HumanGO,0
93,93,AUPRC_MICRO,GpositivePseAAC,0
94,94,AUPRC_MICRO,cal500,0
95,95,AUPRC_MICRO,stackex_cs,1
96,96,AUPRC_MICRO,ohsumed,1
97,97,AUPRC_MICRO,Virus_PseAAC,0
98,98,AUPRC_MICRO,ng20,1
99,99,AUPRC_MICRO,Arabic200,1
100,100,AUPRC_MICRO,genbase,0
101,101,AUPRC_MICRO,stackex_chess,1
102,102,AUPRC_MICRO,GpositiveGO,0
103,103,AUPRC_MICRO,PlantGO,0
104,104,AUPRC_MICRO,GnegativeGO,0
105,105,AUPRC_MICRO,bibtex,1
106,106,AUPRC_MICRO,slashdot,1
107,107,AUPRC_MICRO,tmc2007_500,1
108,108,AUPRC_MICRO,langlog,1
109,109,AUPRC_MICRO,stackex_philosophy,2
110,110,AUPRC_MICRO,reutersk500,1
111,111,AUPRC_MICRO,proteins_human,2
112,112,AUPRC_MICRO,Water_quality,0
113,113,AUPRC_MICRO,PlantPseAAC,1
114,114,AUPRC_MICRO,Yelp,1
115,115,AUPRC_MICRO,CHD_49,0
116,116,AUPRC_MICRO,flags,0
117,117,AUPRC_MICRO,proteins_virus,2
118,118,AUPRC_MICRO,VirusGO,0
119,119,AUPRC_MICRO,GnegativePseACC,0
120,120,MACRO_PRECISION,medical,1
121,121,MACRO_PRECISION,birds,1
122,122,MACRO_PRECISION,proteins_plant,2
123,123,MACRO_PRECISION,emotions,0
124,124,MACRO_PRECISION,enron,1
125,125,MACRO_PRECISION,foodtruck,1
126,126,MACRO_PRECISION,delicious,0
127,127,MACRO_PRECISION,scene,1
128,128,MACRO_PRECISION,HumanPseAAC,1
129,129,MACRO_PRECISION,ABPM,2
130,130,MACRO_PRECISION,corel5k,1
131,131,MACRO_PRECISION,yeast,0
132,132,MACRO_PRECISION,HumanGO,0
133,133,MACRO_PRECISION,GpositivePseAAC,1
134,134,MACRO_PRECISION,cal500,0
135,135,MACRO_PRECISION,stackex_cs,1
136,136,MACRO_PRECISION,ohsumed,0
137,137,MACRO_PRECISION,Virus_PseAAC,2
138,138,MACRO_PRECISION,ng20,0
